surrogate_id,sampler,bin_id,moneyness_idx,maturity_idx,bin_label,is_critical,n_points,price_mae_mean,price_mae_p95,price_mae_p99,iv_mae_mean,iv_mae_p95,iv_mae_p99,iv_failure_rate
H-3,uniform,0,0,0,deep_otm_weekly,False,5000,0.001088445662069567,0.003070674724949643,0.006803478567617287,1.5719413476827635,2.3598183811943314,2.659894086316154,0.41
H-3,uniform,1,1,0,otm_weekly,False,5000,0.002197626358374642,0.0064401180925870005,0.009936367009600003,0.2339477210213697,0.9358066441401565,1.1273036092325435,0.5858
H-3,uniform,2,2,0,atm_weekly,True,5000,0.00434130549419122,0.009302636608481407,0.012337174117565174,0.08370859809171559,0.18005187073071022,0.24747187087447245,0.0672
H-3,uniform,3,3,0,itm_weekly,False,5000,0.00279574129730463,0.006514437496662141,0.008526095971465114,0.0910611779641076,0.2069772943440077,0.2891211790769517,0.4134
H-3,uniform,4,4,0,deep_itm_weekly,False,5000,0.001694662606716156,0.004422590136528016,0.006387175321578981,0.5848120655082831,1.136611793245324,1.3301071095686565,0.558
H-3,uniform,5,0,1,deep_otm_short,False,5000,0.0006845487526317718,0.0018718583547212124,0.0033938057397118445,0.7774832411057989,1.5691472558586694,1.8124570214262035,0.3558
H-3,uniform,6,1,1,otm_short,False,5000,0.0011471754086859345,0.0032824444429024884,0.005390458079054955,0.08000243034571403,0.4191724202594105,0.697285281962334,0.3138
H-3,uniform,7,2,1,atm_short,True,5000,0.0017521171781807428,0.005460250703617936,0.008520016708644123,0.023044502164304356,0.07415245367965759,0.12348624660451543,0.021
H-3,uniform,8,3,1,itm_short,False,5000,0.0014058457776904105,0.0035867258906364446,0.004836974889039995,0.03206619169836526,0.09340738579575819,0.14819380089804227,0.1534
H-3,uniform,9,4,1,deep_itm_short,False,5000,0.0016056895673274994,0.0036109566688537617,0.0050373780727386505,0.25388318675566246,0.6704722983391691,0.8437902109585445,0.1462
H-3,uniform,10,0,2,deep_otm_medium_short,False,5000,0.00040880459415451815,0.0011143406846940707,0.0018632022989913846,0.19019410561176223,0.8153611964071403,1.053255812952435,0.2658
H-3,uniform,11,1,2,otm_medium_short,False,5000,0.000750869881155156,0.00180073706433177,0.002655486445873982,0.021088894348836137,0.06591910047692473,0.2647885405736676,0.0842
H-3,uniform,12,2,2,atm_medium_short,True,5000,0.0010835760123023648,0.00310566918924451,0.005282681267708548,0.008168029373002858,0.025412459794217707,0.044970839142228915,0.0036
H-3,uniform,13,3,2,itm_medium_short,False,5000,0.0009989744901657105,0.0024977996945381173,0.0033086223155260096,0.012146383137913282,0.039258226597424645,0.06920322622301703,0.0144
H-3,uniform,14,4,2,deep_itm_medium_short,False,5000,0.0017240840256214141,0.0032837808132171633,0.004323552250862123,0.08069031892149565,0.28331001046262366,0.440054037659421,0.015
H-3,uniform,15,0,3,deep_otm_medium,False,5000,0.0003825501202495469,0.0010026257252320648,0.0016251608170568962,0.027936095769003556,0.1477577156248147,0.4437221093542072,0.0938
H-3,uniform,16,1,3,otm_medium,False,5000,0.0005892156159769723,0.0016518780961632732,0.003407371876528516,0.004054276638527242,0.01493039303105666,0.03641369430704955,0.028
H-3,uniform,17,2,3,atm_medium,False,5000,0.00077210622230632,0.002196840569376946,0.004254905078560124,0.0028475203030031643,0.008400341207450812,0.016634975846471823,0.0006
H-3,uniform,18,3,3,itm_medium,False,5000,0.0006925961300730706,0.0017548322677612307,0.0026482959091663366,0.003115131108996016,0.009151641167374769,0.019641678560538875,0.0038
H-3,uniform,19,4,3,deep_itm_medium,False,5000,0.0013899893641471863,0.002737593650817871,0.0035195511579513565,0.014310175762793751,0.053188108249706975,0.1361600232381356,0.0046
H-3,uniform,20,0,4,deep_otm_long,False,5000,0.0005242880093172948,0.0013857997948889535,0.0031269066551453816,0.008452603269031923,0.03115768063017623,0.15500034261324885,0.0648
H-3,uniform,21,1,4,otm_long,False,5000,0.00072435786026458,0.0020695149432867774,0.0045387107459828316,0.0022434035785301475,0.006983276371940043,0.02003854501771791,0.0166
H-3,uniform,22,2,4,atm_long,False,5000,0.0009610435983104253,0.002294121682643891,0.005822685193270458,0.002220718986914886,0.005410979847397038,0.013191227141390642,0.0008
H-3,uniform,23,3,4,itm_long,False,5000,0.0009465021282434464,0.0020407289266586312,0.0030272299051284837,0.002382214113229758,0.005678706989514021,0.01062439066691277,0.0026
H-3,uniform,24,4,4,deep_itm_long,False,5000,0.0014526394188404082,0.0029775440692901617,0.0040212631225585984,0.00570657394280973,0.017560515353710858,0.03623358627124562,0.002
H-5,focused,0,0,0,deep_otm_weekly,False,5000,0.0007933431738680258,0.002105283923447133,0.003317034272477032,1.2876171098510374,2.3810391676488862,2.7766217369933135,0.343
H-5,focused,1,1,0,otm_weekly,False,5000,0.0004296678132886159,0.0011072107251363316,0.0015388175286352634,0.23237626787920443,0.8602381778439995,1.0633350529861687,0.1766
H-5,focused,2,2,0,atm_weekly,True,5000,0.0006220172269168736,0.0018559068441390992,0.0031496839970350304,0.011988006911488108,0.035132925089711164,0.08172465421474334,0.0998
H-5,focused,3,3,0,itm_weekly,False,5000,0.001340876503288746,0.002863229811191559,0.003625081703066829,0.04948808077078582,0.16320028775327852,0.28340769223066586,0.5018
H-5,focused,4,4,0,deep_itm_weekly,False,5000,0.001988940191268921,0.00433804988861084,0.005293554663658144,0.45446582809988184,0.9663088833213479,1.123477667744598,0.8556
H-5,focused,5,0,1,deep_otm_short,False,5000,0.00062442419114034,0.0016027738300035566,0.00222617778723361,0.6738804799911111,1.5482956922380817,1.832115272121096,0.261
H-5,focused,6,1,1,otm_short,False,5000,0.0003862567477106769,0.0009589571505784989,0.0013282500195782641,0.06079247419817779,0.31266152051143753,0.6027354716375799,0.169
H-5,focused,7,2,1,atm_short,True,5000,0.0005799398819027272,0.0015543829649686816,0.0023611285910010342,0.007439979787367873,0.020448794263132966,0.03841862780610898,0.0342
H-5,focused,8,3,1,itm_short,False,5000,0.0007988682761788368,0.0020039997994899753,0.0028059543669223803,0.016329047925627765,0.05822888796679153,0.11800776421705253,0.2168
H-5,focused,9,4,1,deep_itm_short,False,5000,0.0021724301755428315,0.004500466585159302,0.005376859307289124,0.07157815441523199,0.25298257121511164,0.5077856835998037,0.7582
H-5,focused,10,0,2,deep_otm_medium_short,False,5000,0.000586026350181177,0.0014301979185940897,0.0019644625276851006,0.22065911355031645,0.8708489706086612,1.1247600555276462,0.1482
H-5,focused,11,1,2,otm_medium_short,False,5000,0.00039712109386380226,0.0010571700011496434,0.0016192406555637728,0.0175371369003148,0.076317012945873,0.24114483490297325,0.0476
H-5,focused,12,2,2,atm_medium_short,True,5000,0.0005410536171919375,0.0014015518128871918,0.002315543591976176,0.0039076801426808794,0.010625250585410806,0.021904352898495575,0.0108
H-5,focused,13,3,2,itm_medium_short,False,5000,0.0008222634971141815,0.001954980194568634,0.0028030188381671928,0.008881517770321644,0.03044626543840232,0.06302900334701095,0.0602
H-5,focused,14,4,2,deep_itm_medium_short,False,5000,0.0021595653116703033,0.003989592194557191,0.004895626902580264,0.04119822781889664,0.12811151912890587,0.21004511876863516,0.3892
H-5,focused,15,0,3,deep_otm_medium,False,5000,0.0005412002502978656,0.001459418679587543,0.0024291402158269225,0.037583892816908666,0.18701912611572008,0.44767150677613204,0.0546
H-5,focused,16,1,3,otm_medium,False,5000,0.000663814463006509,0.0018355639651417737,0.0033595325739588606,0.0054995392592744035,0.022627404096442677,0.05764263425927627,0.013
H-5,focused,17,2,3,atm_medium,False,5000,0.0006160895129156415,0.0017564866691827776,0.003900063313194552,0.0022086832484898215,0.006396882381999847,0.013975446543468974,0.0026
H-5,focused,18,3,3,itm_medium,False,5000,0.0006049617543816566,0.0016207143664360055,0.002809769362211238,0.0025860309721890853,0.007597922409719305,0.01577669638195102,0.0092
H-5,focused,19,4,3,deep_itm_medium,False,5000,0.0012894436717033387,0.0030498653650283813,0.004226601719856263,0.01000210252012777,0.03466924075088288,0.07370383058835027,0.0772
H-5,focused,20,0,4,deep_otm_long,False,5000,0.0008214423572475436,0.002194250957109034,0.004013105332851422,0.01563069102184586,0.07509172387621356,0.214924374759887,0.0292
H-5,focused,21,1,4,otm_long,False,5000,0.0009691545918838516,0.002853562345262618,0.00590485028922558,0.0031158732629323863,0.010403630586707263,0.027007986765344986,0.0128
H-5,focused,22,2,4,atm_long,False,5000,0.0010505110310794407,0.0030794449150562293,0.008749138917773963,0.002397222860136586,0.006847868672640081,0.020968005107493602,0.0032
H-5,focused,23,3,4,itm_long,False,5000,0.0008684837684035301,0.0023552015423774727,0.004472915232181563,0.002204188786662084,0.006221735010653139,0.015640788800589653,0.005
H-5,focused,24,4,4,deep_itm_long,False,5000,0.0010974105656147003,0.0029146850109100365,0.004344204068183901,0.003814009392096761,0.011938937129915523,0.025777032597313995,0.024
